    batch 420/500, loss=0.0710
    batch 430/500, loss=0.1155
    batch 440/500, loss=0.0865
    batch 450/500, loss=0.0848
    batch 460/500, loss=0.1143
    batch 470/500, loss=0.1447
    batch 480/500, loss=0.0815
    batch 490/500, loss=0.0609
    batch 500/500, loss=0.1021
Epoch 85/150 — loss=0.1176, lr=2.36e-03, time=313.4s
    batch 10/500, loss=0.1221
    batch 20/500, loss=0.0795
    batch 30/500, loss=0.0826
    batch 40/500, loss=0.0861
    batch 50/500, loss=0.1249
    batch 60/500, loss=0.0957
    batch 70/500, loss=0.0618
    batch 80/500, loss=0.1072
    batch 90/500, loss=0.1014
    batch 100/500, loss=0.1418
    batch 110/500, loss=0.1508
    batch 120/500, loss=0.1042
    batch 130/500, loss=0.1034
    batch 140/500, loss=0.1585
    batch 150/500, loss=0.0619
    batch 160/500, loss=0.0947
    batch 170/500, loss=0.1077
    batch 180/500, loss=0.1043
    batch 190/500, loss=0.1213
    batch 200/500, loss=0.1248
    batch 210/500, loss=0.1114
    batch 220/500, loss=0.1025
    batch 230/500, loss=0.1326
    batch 240/500, loss=0.0985
    batch 250/500, loss=0.1242
    batch 260/500, loss=0.0638
    batch 270/500, loss=0.0851
    batch 280/500, loss=0.0649
    batch 290/500, loss=0.0906
    batch 300/500, loss=0.1074
    batch 310/500, loss=0.1002
    batch 320/500, loss=0.0722
    batch 330/500, loss=0.0858
    batch 340/500, loss=0.0673
    batch 350/500, loss=0.0977
    batch 360/500, loss=0.0849
    batch 370/500, loss=0.1108
    batch 380/500, loss=0.0727
    batch 390/500, loss=0.1358
    batch 400/500, loss=0.1526
    batch 410/500, loss=0.1210
    batch 420/500, loss=0.1116
    batch 430/500, loss=0.1602
    batch 440/500, loss=0.1169
    batch 450/500, loss=0.2045
    batch 460/500, loss=0.0784
    batch 470/500, loss=0.0741
    batch 480/500, loss=0.1151
    batch 490/500, loss=0.1307
    batch 500/500, loss=0.1243
Epoch 86/150 — loss=0.1125, lr=2.32e-03, time=325.6s
    batch 10/500, loss=0.0692
    batch 20/500, loss=0.1473
    batch 30/500, loss=0.1446
    batch 40/500, loss=0.1078
    batch 50/500, loss=0.1317
    batch 60/500, loss=0.0905
    batch 70/500, loss=0.0370
    batch 80/500, loss=0.0895
    batch 90/500, loss=0.1183
    batch 100/500, loss=0.0752
    batch 110/500, loss=0.0810
    batch 120/500, loss=0.1331
    batch 130/500, loss=0.1228
    batch 140/500, loss=0.0660
    batch 150/500, loss=0.1249
    batch 160/500, loss=0.0653
    batch 170/500, loss=0.0619
    batch 180/500, loss=0.0775
    batch 190/500, loss=0.1198
    batch 200/500, loss=0.1532
    batch 210/500, loss=0.0670
    batch 220/500, loss=0.1105
    batch 230/500, loss=0.0816
    batch 240/500, loss=0.1126
    batch 250/500, loss=0.0979
    batch 260/500, loss=0.1416
    batch 270/500, loss=0.1122
    batch 280/500, loss=0.0951
    batch 290/500, loss=0.0602
    batch 300/500, loss=0.1119
    batch 310/500, loss=0.0900
    batch 320/500, loss=0.0991
    batch 330/500, loss=0.0679
    batch 340/500, loss=0.0948
    batch 350/500, loss=0.1062
    batch 360/500, loss=0.0773
    batch 370/500, loss=0.0931
    batch 380/500, loss=0.0772
    batch 390/500, loss=0.1110
    batch 400/500, loss=0.0972
    batch 410/500, loss=0.0543
    batch 420/500, loss=0.1445
    batch 430/500, loss=0.1004
